filename	TGT	OTH	prev_phone	next_phone	TGT_item	OTH_item	X_item	TGT_first	speaker_tgt_oth	speaker_x
FR1	a	e	i	k	12	13	14	True	F06_O	M07_O
FR2	a	e	i	k	12	13	14	False	F06_O	M07_O
FR3	a	e	d	k	16	17	18	True	F01_O	F03_O
FR4	a	e	d	k	16	17	18	False	F01_O	F03_O
FR5	a	e	i	d	20	21	22	True	M07_N	M01_O
FR6	a	e	i	d	20	21	22	False	M07_N	M01_O
FR7	e	a	i	k	13	12	15	True	F06_O	M10_O
FR8	e	a	i	k	13	12	15	False	F06_O	M10_O
FR9	e	a	d	k	17	16	19	True	F01_O	M10_N
FR10	e	a	d	k	17	16	19	False	F01_O	M10_N
FR11	e	a	i	d	21	20	23	True	M07_N	F01_O
FR12	e	a	i	d	21	20	23	False	M07_N	F01_O
FR13	a	i	s	d	38	39	40	True	M08_N	M10_N
FR14	a	i	s	d	38	39	40	False	M08_N	M10_N
FR15	a	i	s	k	42	43	44	True	F06_N	F02_N
FR16	a	i	s	k	42	43	44	False	F06_N	F02_N
FR17	a	i	f	s	2537	2581	2737	True	F01_O	F02_N
FR18	a	i	f	s	2537	2581	2737	False	F01_O	F02_N
FR19	i	a	s	d	39	38	41	True	M08_N	M10_N
FR20	i	a	s	d	39	38	41	False	M08_N	M10_N
FR21	i	a	s	k	43	42	45	True	F06_N	M10_N
FR22	i	a	s	k	43	42	45	False	F06_N	M10_N
FR23	i	a	f	s	2581	2537	2687	True	F01_O	F01_N
FR24	i	a	f	s	2581	2537	2687	False	F01_O	F01_N
FR25	a	t	s	d	108	109	40	True	F10_O	M10_N
FR26	a	t	s	d	108	109	40	False	F10_O	M10_N
FR27	a	t	i	p	1701	1765	2396	True	F01_O	F02_N
FR28	a	t	i	p	1701	1765	2396	False	F01_O	F02_N
FR29	a	t	s	k	1771	540	44	True	M07_O	F02_N
FR30	a	t	s	k	1771	540	44	False	M07_O	F02_N
FR31	t	a	s	d	109	108	110	True	F10_O	F02_N
FR32	t	a	s	d	109	108	110	False	F10_O	F02_N
FR33	t	a	i	p	1765	1701	1766	True	F01_O	F06_N
FR34	t	a	i	p	1765	1701	1766	False	F01_O	F06_N
FR35	t	a	s	k	540	1771	1772	True	M07_O	F01_N
FR36	t	a	s	k	540	1771	1772	False	M07_O	F01_N
FR37	a	ø	d	s	147	148	34	True	M04_O	M08_N
FR38	a	ø	d	s	147	148	34	False	M04_O	M08_N
FR39	a	ø	s	k	150	151	44	True	M07_N	F02_N
FR40	a	ø	s	k	150	151	44	False	M07_N	F02_N
FR41	a	ø	p	p	2718	2717	2825	True	F03_O	F02_N
FR42	a	ø	p	p	2718	2717	2825	False	F03_O	F02_N
FR43	ø	a	d	s	148	147	149	True	M04_O	M01_O
FR44	ø	a	d	s	148	147	149	False	M04_O	M01_O
FR45	ø	a	s	k	151	150	152	True	M07_N	F01_O
FR46	ø	a	s	k	151	150	152	False	M07_N	F01_O
FR47	ø	a	p	p	2717	2718	2719	True	F03_O	F01_O
FR48	ø	a	p	p	2717	2718	2719	False	F03_O	F01_O
FR49	a	ɑ̃	d	s	147	165	34	True	M04_O	M08_N
FR50	a	ɑ̃	d	s	147	165	34	False	M04_O	M08_N
FR51	a	ɑ̃	s	d	38	167	40	True	M08_N	M10_N
FR52	a	ɑ̃	s	d	38	167	40	False	M08_N	M10_N
FR53	a	ɑ̃	f	s	2537	2536	2737	True	F01_O	F02_N
FR54	a	ɑ̃	f	s	2537	2536	2737	False	F01_O	F02_N
FR55	ɑ̃	a	d	s	165	147	166	True	M04_O	M10_N
FR56	ɑ̃	a	d	s	165	147	166	False	M04_O	M10_N
FR57	ɑ̃	a	s	d	167	38	168	True	M08_N	M10_N
FR58	ɑ̃	a	s	d	167	38	168	False	M08_N	M10_N
FR59	ɑ̃	a	f	s	2536	2537	2538	True	F01_O	F02_N
FR60	ɑ̃	a	f	s	2536	2537	2538	False	F01_O	F02_N
FR61	a	ɔ̃	s	d	108	181	40	True	F10_O	M10_N
FR62	a	ɔ̃	s	d	108	181	40	False	F10_O	M10_N
FR63	a	ɔ̃	s	k	171	183	44	True	F10_O	F02_N
FR64	a	ɔ̃	s	k	171	183	44	False	F10_O	F02_N
FR65	a	ɔ̃	f	s	2807	2738	2537	True	M01_O	F01_O
FR66	a	ɔ̃	f	s	2807	2738	2537	False	M01_O	F01_O
FR67	ɔ̃	a	s	d	181	108	182	True	F10_O	M01_O
FR68	ɔ̃	a	s	d	181	108	182	False	F10_O	M01_O
FR69	ɔ̃	a	s	k	183	171	184	True	F10_O	F06_O
FR70	ɔ̃	a	s	k	183	171	184	False	F10_O	F06_O
FR71	ɔ̃	a	f	s	2738	2807	2715	True	M01_O	F10_O
FR72	ɔ̃	a	f	s	2738	2807	2715	False	M01_O	F10_O
FR73	a	ɛ	d	s	34	193	36	True	M08_N	F01_N
FR74	a	ɛ	d	s	34	193	36	False	M08_N	F01_N
