index	TGT	OTH	prev_phone	next_phone	TGT_item	OTH_item	X_item
1	ɑ	æ	b	k	1845	1846	1847
2	æ	ɑ	b	k	1846	1845	1848
3	ɑ	ʌ	t	p	1860	1956	3616
4	ɑ	ɛ	p	s	60	61	26
5	ɑ	ɛ	k	p	54	55	56
6	ɛ	ɑ	p	s	61	60	1864
7	ɛ	ɑ	k	p	55	54	57
8	eɪ	ɑ	p	p	1868	1867	1870
9	eɪ	ɑ	k	s	1865	1850	1866
10	ɑ	i	b	k	1845	1921	1847
11	ɑ	i	p	p	1883	1884	1867
12	i	ɑ	b	k	1921	1845	2644
13	ɑ	oʊ	s	f	99	1888	97
14	ɑ	oʊ	p	z	93	94	95
15	oʊ	ɑ	p	z	94	93	96
16	s	ɑ	t	p	2393	1860	1890
17	s	ɑ	k	p	1892	56	1893
18	s	ɑ	k	t	1894	16	293
19	ɑ	s	t	p	1860	2393	3616
20	ɑ	s	k	t	16	1894	18
21	æ	ʌ	t	k	125	23	126
22	ʌ	æ	t	k	23	125	21
23	æ	eɪ	t	k	198	2406	125
24	eɪ	æ	t	k	2406	198	76
25	eɪ	æ	k	t	1909	2955	1911
26	i	æ	p	s	1882	1843	1448
27	i	æ	b	k	1921	1846	2644
28	æ	oʊ	h	p	1926	1927	1928
29	oʊ	æ	h	p	1927	1926	1929
30	æ	s	t	k	198	199	125
31	æ	ʊ	b	k	1934	1935	1846
32	æ	ʊ	p	t	210	1937	2959
33	ʊ	æ	t	k	1938	125	119
34	ʊ	æ	b	k	1935	1934	1936
35	ʊ	æ	p	t	1937	210	114
36	ʌ	eɪ	t	k	23	266	21
37	ʌ	eɪ	d	z	1946	1947	276
38	eɪ	ʌ	t	k	266	23	76
39	eɪ	ʌ	d	z	1947	1946	264
40	ʌ	ɪ	t	k	23	1955	21
41	ɪ	ʌ	t	k	1955	23	2589
42	ʌ	oʊ	d	z	1961	192	276
43	oʊ	ʌ	d	z	192	1961	191
44	ʌ	s	t	k	21	105	23
45	ʌ	s	t	p	1964	1965	1944
46	s	ʌ	t	k	105	21	106
47	s	ʌ	t	p	1965	1964	1890
48	s	ʌ	k	p	1966	128	1892
49	ʌ	t	s	f	297	298	229
50	ʌ	t	s	b	2966	3644	1967
51	t	ʌ	s	b	3644	2966	1970
52	b	v	z	ɛ	635	786	633
53	v	b	z	ɪ	2086	1980	2085
54	v	b	d	ɛ	1832	2083	1831
55	v	b	z	ɛ	786	635	787
56	tʃ	d	ɪ	ð	2105	2106	2107
57	tʃ	d	z	ɑ	2109	2110	2111
58	tʃ	d	æ	t	2101	2102	3037
59	d	tʃ	ɪ	ð	2106	2105	2108
60	d	tʃ	z	ɑ	2110	2109	2112
61	tʃ	f	z	ɑ	2111	2222	2109
