index	#file	onset	offset	#phone	prev-phone	next-phone	speaker
12	10858	0.40000	0.54311	a	i	k	F06_O
13	5050	0.55750	0.69189	e	i	k	F06_O
14	4449	0.52250	0.72064	a	i	k	M07_O
15	4868	0.3825	0.7725	e	i	k	M10_O
16	6306	0.6925	0.8725	a	d	k	F01_O
17	5636	0.6725	0.8625	e	d	k	F01_O
18	17478	0.425	0.635	a	d	k	F03_O
20	17528	0.7525	0.9125	a	i	d	M07_N
21	5392	0.78250	0.87787	e	i	d	M07_N
22	15070	0.61500	0.75952	a	i	d	M01_O
23	231	0.3425	0.6525	e	i	d	F01_O
38	10162	0.3825	0.6125	a	s	d	M08_N
39	17983	0.3875	0.6175	i	s	d	M08_N
40	16238	0.44250	0.63272	a	s	d	M10_N
41	16563	0.3925	0.6925	i	s	d	M10_N
43	17311	0.5225	0.7925	i	s	k	F06_N
44	20730	0.2825	0.5625	a	s	k	F02_N
45	4145	0.3425	0.6925	i	s	k	M10_N
108	18735	0.6475	0.8575	a	s	d	F10_O
109	11788	0.445	0.655	t	s	d	F10_O
110	16004	0.375	0.675	t	s	d	F02_N
115	15018	0.5375	0.7675	a	k	p	F03_O
117	14170	0.5925	0.8725	a	k	p	M01_O
118	13806	0.3325	0.8025	u	k	p	M01_O
119	17472	0.4275	0.7275	a	k	s	F10_O
121	17637	0.1625	0.5925	a	k	s	M10_N
122	20215	0.3425	0.8025	u	k	s	M01_O
123	1413	0.4625	0.8325	a	p	s	M10_N
124	7095	0.3725	0.6725	u	p	s	M10_N
125	8660	0.3875	0.6875	a	p	s	F02_N
126	11647	0.4925	0.7225	u	p	s	F02_N
34	19877	0.2925	0.5825	a	d	s	M08_N
134	3474	0.3925	0.7125	y	d	s	M08_N
36	12297	0.4975	0.7875	a	d	s	F01_N
135	12695	0.53750	0.69527	y	d	s	F02_N
137	9783	0.6575	0.8975	y	s	d	F03_O
147	11748	0.4625	0.6825	a	d	s	M04_O
148	8682	0.505	0.765	ø	d	s	M04_O
149	9733	0.13250	0.51606	ø	d	s	M01_O
150	18039	0.3625	0.5825	a	s	k	M07_N
151	14119	0.54250	0.77136	ø	s	k	M07_N
152	10107	0.38250	0.62934	ø	s	k	F01_O
157	6398	0.59	0.82	a	e	b	F02_N
160	6429	0.4825	0.7825	œ̃	k	p	F01_O
161	1922	0.3325	0.6225	œ̃	k	p	M08_N
2324	17647	0.6525	0.8925	a	k	s	M07_N
163	103	0.3525	0.5625	œ̃	k	s	M07_N
164	9392	0.415	0.685	œ̃	k	s	F02_O
166	18749	0.4325	0.8725	ɑ̃	d	s	M10_N
167	4990	0.41250	0.63103	ɑ̃	s	d	M08_N
168	9380	0.6125	0.8925	ɑ̃	s	d	M10_N
172	14780	0.3925	0.5825	ɔ	s	k	F10_O
173	12910	0.4875	0.7075	ɔ	s	k	M02_O
176	5306	0.68250	0.88970	a	k	p	M07_O
177	15151	0.5525	0.8125	ɔ	k	p	M07_O
178	20566	0.3925	0.6125	ɔ	k	p	F06_N
181	5986	0.3275	0.5975	ɔ̃	s	d	F10_O
182	4420	0.415	0.685	ɔ̃	s	d	M01_O
183	12684	0.38	0.65	ɔ̃	s	k	F10_O
184	5828	0.52000	0.75107	ɔ̃	s	k	F06_O
185	1351	0.67250	0.87956	ə	d	s	M08_N
186	14555	0.56250	0.75445	ə	d	s	M10_N
187	474	0.34250	0.60229	a	s	k	M04_O
188	2736	0.54000	0.72402	ə	s	k	M04_O
189	4640	0.58250	0.72909	ə	s	k	M10_N
190	17263	0.6125	0.8125	a	k	p	M08_N
192	10157	0.69250	0.88294	ə	k	p	M10_N
193	14768	0.4425	0.7025	ɛ	d	s	M08_N
194	9380	0.5025	0.7325	ɛ	d	s	M10_N
195	11428	0.39250	0.58538	ɛ	s	d	M08_N
196	17519	0.31250	0.55495	ɛ	s	d	M10_N
198	2385	0.4425	0.7025	ɛ	s	k	M10_N
199	4747	0.34	0.55	ɛ̃	s	k	M04_O
200	2123	0.5525	0.9125	ɛ̃	s	k	M10_N
201	19580	0.6925	0.8925	a	d	p	F01_O
202	6236	0.4825	0.7425	ɛ̃	d	p	F01_O
203	11758	0.4425	0.7025	a	d	p	M01_O
204	1656	0.56	0.8	ɛ̃	d	p	M01_O
212	9174	0.44	0.66	ʁ	d	k	F06_O
226	1850	0.53	0.72	b	a	ɛ	M04_O
227	17522	0.5575	0.7575	d	a	ɛ	M04_O
228	10163	0.3325	0.6025	b	a	ɛ	M01_O
229	20436	0.6725	0.9025	d	a	ɛ	F01_O
230	6039	0.5025	0.8125	b	i	a	F06_N
231	1973	0.6025	0.7725	d	i	a	F06_N
232	17659	0.7425	0.9225	b	i	a	M04_O
238	5954	0.5375	0.7775	b	a	ɛ	M08_N
239	3130	0.67250	0.88970	f	a	ɛ	M08_N
241	5540	0.63250	0.77981	b	i	ɛ	M10_O
242	6123	0.3925	0.6025	f	i	ɛ	M10_O
24	9711	0.34750	0.60736	f	i	ɛ	F02_N
244	5472	0.705	0.935	b	t	a	F06_O
245	19127	0.6775	0.9275	f	t	a	F06_O
246	16409	0.4825	0.7825	b	t	a	M07_O
247	11593	0.5175	0.7975	f	t	a	F01_N
248	19832	0.475	0.645	b	a	ɛ	F10_O
249	12279	0.635	0.825	j	a	ɛ	F10_O
250	9805	0.365	0.655	j	a	ɛ	F02_N
251	2102	0.5625	0.8225	j	i	ɛ	M10_O
52	7737	0.7275	0.8875	j	i	ɛ	F02_N
234	15138	0.6575	0.8875	b	ɛ	a	M04_O
252	19449	0.5525	0.7425	j	ɛ	a	M04_O
236	866	0.675	0.865	b	ɛ	a	F06_O
254	7779	0.5525	0.7525	k	a	ɛ	F10_O
255	2109	0.3825	0.6525	k	a	ɛ	M10_N
63	591	0.4525	0.7225	k	i	a	M10_N
257	15011	0.5425	0.7625	k	t	a	M07_O
260	949	0.4925	0.7025	l	a	ɛ	M10_N
261	11427	0.4425	0.6025	l	i	ɛ	M10_O
70	9222	0.6225	0.7725	l	i	ɛ	M10_N
262	14081	0.7525	0.9425	l	i	a	F06_N
263	10148	0.5625	0.8525	l	i	a	M10_N
265	10557	0.61074	0.81000	m	a	ɛ	F02_N
266	7355	0.6325	0.9325	m	i	ɛ	M10_O
73	4308	0.5875	0.8775	m	i	ɛ	F02_N
268	737	0.2825	0.5725	m	i	a	M10_N
270	12034	0.4025	0.6725	n	a	ɛ	F01_O
272	13544	0.7	0.88	b	e	ɔ	M07_N
2325	9239	0.64	0.91	n	e	ɔ	M07_N
274	12692	0.33	0.61	b	e	ɔ	M01_O
275	13009	0.2375	0.5775	n	e	ɔ	F02_N
279	3650	0.45689	0.62250	p	i	a	M10_N
280	5520	0.475	0.745	p	t	a	F06_O
2326	14105	0.45858	0.62427	s	a	ɛ	F06_N
284	8660	0.4975	0.7675	s	a	ɛ	F02_N
285	9627	0.7475	0.9475	s	i	a	M04_O
286	17138	0.305	0.585	s	i	a	F01_N
2327	1115	0.5175	0.6975	s	ɛ	a	F06_O
1796	16712	0.4275	0.6075	s	ɛ	a	F02_N
289	1792	0.44250	0.69527	t	a	ɛ	M08_N
2169	19274	0.4825	0.8125	t	a	ɛ	M01_O
292	6781	0.3525	0.5725	t	i	a	M10_N
293	2	0.3575	0.6975	t	ɛ	a	M04_O
294	4395	0.4725	0.6425	t	ɛ	a	M10_N
295	10176	0.5125	0.6725	v	a	ɛ	M08_N
297	8342	0.61250	0.82884	v	i	ɛ	M10_O
128	8052	0.55250	0.79672	v	i	ɛ	M10_N
298	3228	0.5175	0.7875	v	i	a	M04_O
299	14921	0.5225	0.7425	v	i	a	M10_N
300	4539	0.4925	0.7925	z	a	ɛ	M08_N
301	8286	0.4875	0.7275	z	a	ɛ	F06_O
302	8490	0.4925	0.8725	z	i	ɛ	M10_O
142	5617	0.5925	0.8125	z	i	ɛ	M10_N
303	5772	0.5025	0.7125	z	e	ɔ	M07_N
315	13216	0.34250	0.56678	ɡ	a	ɛ	F06_N
311	11761	0.6625	0.9125	b	e	a	M10_N
317	5570	0.5825	0.7825	ɡ	e	a	M10_N
320	17034	0.62088	0.82715	ɡ	a	a	F06_N
321	10064	0.4375	0.6375	b	a	a	F02_N
322	18388	0.6675	0.8675	ɡ	a	a	F02_N
324	5433	0.5725	0.8025	ʁ	a	ɛ	M10_N
325	4847	0.5925	0.7425	ʁ	t	a	F06_O
326	15570	0.3525	0.5725	ʁ	t	a	M10_N
327	12249	0.6	0.76	ʁ	ɛ	a	F06_O
329	17438	0.2725	0.6625	ʃ	a	ɛ	F06_N
331	20399	0.7175	0.9175	b	e	a	M04_O
332	2280	0.56	0.75	ʃ	e	a	M04_O
334	15491	0.43491	0.60398	ʃ	a	a	F06_N
335	9162	0.4625	0.7125	ʃ	a	a	M01_O
336	5376	0.6525	0.8625	ʒ	a	ɛ	M01_O
337	116	0.7275	0.8975	ʒ	a	ɛ	F02_N
338	4877	0.4225	0.7125	b	ɛ	a	M10_O
339	3815	0.5125	0.8425	ʒ	ɛ	a	M10_O
340	14469	0.5825	0.7525	ʒ	ɛ	a	F01_O
341	1963	0.415	0.605	b	a	s	M04_O
307	19583	0.3625	0.5825	b	a	s	M10_N
353	15526	0.4925	0.8625	f	a	ɛ	F01_O
1799	11276	0.5475	0.6575	d	a	ɛ	F06_O
5	8062	0.45500	0.63103	d	i	ɛ	F02_N
7	15589	0.6025	0.7925	d	i	ɛ	M01_O
25	2156	0.4025	0.5725	f	i	ɛ	F01_O
355	4582	0.775	0.935	d	ɛ	ɔ	F03_O
356	18239	0.355	0.555	f	ɛ	ɔ	F03_O
357	3575	0.445	0.645	d	ɛ	ɔ	M01_O
358	11302	0.3125	0.5525	f	ɛ	ɔ	M10_N
1	9510	0.6225	0.8525	d	t	ɛ	F06_N
50	3018	0.77250	0.89140	j	t	ɛ	F06_N
3	3185	0.6325	0.8825	d	t	ɛ	F05_N
51	19767	0.5775	0.7375	j	t	ɛ	F02_N
53	2013	0.3725	0.7325	j	i	ɛ	M01_O
58	19835	0.5275	0.7675	k	i	ɛ	F02_N
59	3265	0.7625	0.9325	k	i	ɛ	F01_O
371	13310	0.7125	0.8925	d	ɛ	ɔ	F01_O
373	19012	0.6825	0.9225	k	ɛ	ɔ	M01_O
381	18935	0.6875	0.8375	d	i	ɛ	M04_O
382	4635	0.38500	0.58200	l	i	ɛ	M04_O
2332	6898	0.335	0.595	d	t	e	F02_O
384	13822	0.56750	0.76290	m	t	e	F02_O
2328	6901	0.7375	0.9475	d	t	e	F02_N
385	8427	0.6625	0.9225	m	t	e	M10_N
386	2935	0.2375	0.6075	d	a	ɛ	F02_O
387	10813	0.505	0.765	m	a	ɛ	F02_O
388	10535	0.5175	0.7175	m	i	ɛ	M04_O
391	15910	0.5625	0.8325	n	a	ɛ	F03_O
80	2434	0.5025	0.7525	n	i	ɛ	M10_N
392	2280	0.7	0.86	p	a	ɛ	M04_O
396	19759	0.5525	0.7325	d	i	a	M08_N
397	16739	0.5025	0.6825	p	i	a	M08_N
407	13568	0.39	0.62	t	i	ɛ	M04_O
410	9901	0.4375	0.5975	v	a	ɛ	M04_O
411	17144	0.54818	0.66484	v	i	ɛ	M04_O
412	7058	0.6375	0.8875	d	i	a	F10_O
413	18688	0.3175	0.6375	v	i	a	F10_O
421	16912	0.42138	0.58000	z	ɛ	ɔ	F03_O
443	6193	0.4325	0.5925	d	a	a	M07_O
444	1580	0.3725	0.6125	ɡ	a	a	M07_O
445	11758	0.42307	0.61250	d	a	a	M01_O
446	1281	0.3625	0.6625	d	ɛ	ɛ	F05_N
447	14955	0.33250	0.61412	ɡ	ɛ	ɛ	F05_N
448	1981	0.6225	0.8325	d	ɛ	ɛ	M01_O
449	7234	0.53500	0.74261	ɡ	ɛ	ɛ	F03_O
462	18938	0.4925	0.7525	ʁ	t	e	M04_O
463	19432	0.6225	0.8525	ʁ	t	e	M10_N
401	12644	0.5125	0.7125	d	s	e	F01_O
464	10114	0.3925	0.6125	ʁ	s	e	F01_O
465	17273	0.605	0.795	ʁ	s	e	M02_O
466	1200	0.4025	0.7325	d	a	ɛ	M07_O
467	16853	0.5225	0.9125	ʃ	a	ɛ	M07_O
468	11441	0.695	0.845	d	i	ɛ	F03_O
470	17670	0.4625	0.7625	ʃ	i	ɛ	M01_O
471	15184	0.5625	0.8825	ʒ	a	ɛ	F01_O
474	1613	0.7525	0.9325	ʒ	i	ɛ	M07_N
499	18254	0.7575	0.9275	e	a	t	F02_N
57	16461	0.6225	0.8325	k	a	t	M10_N
500	19653	0.2325	0.6425	e	t	a	M01_O
501	8824	0.4125	0.6325	k	t	a	M07_N
505	13617	0.705	0.895	l	k	a	M07_N
477	1293	0.4925	0.7225	e	k	a	F01_O
506	10278	0.4825	0.6725	l	k	a	M10_N
522	20753	0.2625	0.6125	e	d	s	M07_O
88	9914	0.1925	0.6225	o	d	s	M07_O
486	20696	0.5025	0.7525	e	d	s	M10_N
89	15817	0.53500	0.75445	o	d	s	F03_O
524	16047	0.2925	0.7725	o	s	k	M08_N
525	6219	0.6025	0.8425	e	s	k	M10_N
526	4496	0.18250	0.62427	o	s	k	M10_N
527	11339	0.51000	0.71556	e	d	f	F06_O
528	20644	0.6025	0.8125	o	d	f	F06_O
529	10785	0.50250	0.71894	e	d	f	M10_N
530	4485	0.61	0.87	o	d	f	F03_O
531	10106	0.7325	0.9225	p	k	a	F01_O
533	1105	0.5325	0.8725	e	t	a	F06_N
537	11171	0.3625	0.6325	s	a	t	F02_O
103	8324	0.4625	0.7725	s	a	t	M10_N
542	17293	0.31250	0.50085	e	d	s	M10_O
543	11712	0.5025	0.8125	u	d	s	M10_O
544	16640	0.4075	0.8075	u	d	s	M01_O
549	3773	0.6225	0.9125	w	k	a	F01_O
550	8608	0.7275	0.8875	w	k	a	F02_N
554	8589	0.37	0.59	e	t	a	M08_N
