index	TGT	OTH	prev_phone	next_phone	TGT_item	OTH_item	X_item
1	a	e	i	k	12	13	14
2	a	e	d	k	16	17	18
3	a	e	i	d	20	21	22
4	e	a	i	k	13	12	15
5	e	a	d	k	17	16	19
6	e	a	i	d	21	20	23
7	a	i	s	d	38	39	40
8	a	i	s	k	42	43	44
9	a	i	f	s	2537	2581	2737
10	i	a	s	d	39	38	41
11	i	a	s	k	43	42	45
12	i	a	f	s	2581	2537	2687
13	a	t	s	d	108	109	40
14	a	t	i	p	1701	1765	2396
15	a	t	s	k	1771	540	44
16	t	a	s	d	109	108	110
17	t	a	i	p	1765	1701	1766
18	t	a	s	k	540	1771	1772
19	a	ø	d	s	147	148	34
20	a	ø	s	k	150	151	44
21	a	ø	p	p	2718	2717	2825
22	ø	a	d	s	148	147	149
23	ø	a	s	k	151	150	152
24	ø	a	p	p	2717	2718	2719
25	a	ɑ̃	d	s	147	165	34
26	a	ɑ̃	s	d	38	167	40
27	a	ɑ̃	f	s	2537	2536	2737
28	ɑ̃	a	d	s	165	147	166
29	ɑ̃	a	s	d	167	38	168
30	ɑ̃	a	f	s	2536	2537	2538
31	a	ɔ̃	s	d	108	181	40
32	a	ɔ̃	s	k	171	183	44
33	a	ɔ̃	f	s	2807	2738	2537
34	ɔ̃	a	s	d	181	108	182
35	ɔ̃	a	s	k	183	171	184
36	ɔ̃	a	f	s	2738	2807	2715
43	a	ɛ	d	s	34	193	36
44	a	ɛ	s	d	38	195	40
45	a	ɛ	s	k	187	197	44
46	ɛ	a	s	d	195	38	196
47	ɛ	a	s	k	197	187	198
48	ɛ	a	d	s	193	34	194
49	a	ɛ̃	s	k	187	199	44
50	a	ɛ̃	d	p	201	202	203
51	a	ɛ̃	p	t	2560	2559	2569
52	ɛ̃	a	s	k	199	187	200
53	ɛ̃	a	d	p	202	201	204
54	ɛ̃	a	p	t	2559	2560	2561
55	a	ʁ	i	k	12	209	14
56	a	ʁ	d	k	16	211	18
57	a	ʁ	u	b	2729	2730	2960
58	ʁ	a	i	k	209	12	210
59	ʁ	a	d	k	211	16	212
60	ʁ	a	u	b	2730	2729	2841
61	b	k	i	a	230	256	232
62	b	k	t	a	246	257	244
63	b	k	a	ɛ	228	634	238
64	k	b	i	a	256	230	63
65	k	b	t	a	257	246	258
66	k	b	a	ɛ	634	228	254
67	b	m	i	a	230	267	232
68	b	m	a	ɛ	238	264	228
69	b	m	i	ɛ	241	266	243
70	m	b	i	a	267	230	268
71	m	b	a	ɛ	264	238	265
72	m	b	i	ɛ	266	241	73
73	b	p	i	a	232	278	230
74	b	p	t	a	244	280	246
75	b	p	a	ɛ	238	276	228
76	p	b	t	a	280	244	281
77	p	b	a	ɛ	276	238	277
78	p	b	i	a	278	232	279
79	b	s	i	a	232	285	230
80	b	s	a	ɛ	282	2326	228
81	b	s	e	a	236	2327	234
82	s	b	i	a	285	232	286
83	s	b	a	ɛ	2326	282	284
84	s	b	e	a	2327	236	1796
85	b	z	e	ɔ	272	303	274
86	b	z	a	ɛ	238	300	228
87	b	z	i	ɛ	241	302	243
88	z	b	e	ɔ	2459	274	303
89	z	b	a	ɛ	300	238	301
90	z	b	i	ɛ	302	241	674
91	b	ɡ	e	a	311	317	309
92	b	ɡ	a	a	319	320	321
93	b	ɡ	a	ɛ	282	315	228
94	ɡ	b	e	a	317	311	318
95	ɡ	b	a	a	320	319	322
96	ɡ	b	a	ɛ	315	282	1542
97	b	ʃ	e	a	331	332	311
98	b	ʃ	a	a	319	334	321
99	b	ʃ	a	ɛ	282	329	228
100	ʃ	b	e	a	332	331	333
101	ʃ	b	a	a	334	319	335
102	ʃ	b	a	ɛ	1005	228	329
103	b	ʒ	a	s	341	342	307
104	b	ʒ	ɛ	a	338	339	236
105	b	ʒ	a	ɛ	228	336	282
106	ʒ	b	a	s	342	341	225
107	ʒ	b	a	ɛ	336	228	337
108	ʒ	b	ɛ	a	339	338	340
109	d	l	i	u	2577	2781	2579
110	d	l	e	i	2522	2521	2571
111	d	l	i	ɛ	7	2853	5
112	l	d	i	u	2781	2577	2782
113	l	d	e	i	2521	2522	2523
114	l	d	i	ɛ	2853	7	382
115	d	m	t	e	2332	384	2328
116	d	m	a	ɛ	386	387	1799
117	d	m	i	ɛ	5	73	7
118	m	d	t	e	384	2332	385
119	m	d	a	ɛ	387	386	265
120	m	d	i	ɛ	73	5	266
121	d	n	i	u	2577	2578	2579
122	d	n	a	ɛ	229	270	1799
123	d	n	i	ɛ	5	79	7
124	n	d	i	u	2578	2577	2722
125	n	d	a	ɛ	270	229	391
126	n	d	i	ɛ	79	5	80
127	d	p	i	a	396	397	233
128	d	p	e	i	2819	2818	2522
129	d	p	a	ɛ	229	1155	1799
130	p	d	i	a	397	396	279
131	p	d	e	i	2818	2819	2820
132	p	d	a	ɛ	1155	229	392
133	d	t	i	u	2913	2914	2577
134	d	t	e	i	2522	2684	2571
135	d	t	i	ɛ	5	113	7
136	t	d	i	u	2914	2913	2600
137	t	d	e	i	2684	2522	2570
